Comment,Sentiment
"Me siento muy feliz hoy",true
"Estoy triste por lo que pasó",false
"No puedo soportar estar cerca de ti",false
"La calidad de imagen es extraordinariamente nítida",true
"Los colores se ven lavados y sin contraste",false
"Me encanta cómo me veo en esta foto",true
"Te amo con todo mi corazon",true
"Me veo terrible en esa imagen",false
"Este ha sido el mejor día de mi vida",true
"Hoy ha sido un día horrible",false
"Gracias por tu ayuda me salvaste",true
"No me ayudaste cuando te necesitaba",false
"La comida estaba deliciosa",true
"La comida sabía horrible",false
"Me siento bien conmigo mismo",true
"Me siento muy inseguro últimamente",false
"Estoy muy orgulloso de mis logros",true
"Me siento como un fracaso total",false
"El reconocimiento facial funciona incluso con poca luz",true
"La cámara frontal produce fotos borrosas",false
"Respuesta inmediata del servicio de garantía",true
"Tardaron semanas en procesar mi devolución",false
"Qué alegría verte de nuevo",true
"Preferiría no volver a verte",false
"El concierto fue increíble",true
"El concierto fue una pérdida de tiempo",false
"Me encanta esta nueva canción",true
"Esta canción es insoportable",false
"Estoy emocionado por el viaje",true
"No quiero ir a ese lugar",false
"Tienes un gran sentido del humor",true
"Tus chistes no dan gracia",false
"Tu presentación fue impresionante",true
"Tu presentación fue aburrida",false
"Me hiciste sonreír",true
"Me hiciste llorar de tristeza",false
"Estoy agradecido por esta oportunidad",true
"Esta oportunidad es una pérdida de tiempo",false
"La película me encantó",true
"La película fue terrible",false
"Interfaz personalizable según necesidades",true
"Opciones de configuración muy limitadas",false
"Sincronización perfecta con la nube",true
"Pérdida frecuente de datos en la nube",false
"Audio cristalino en llamadas y música",true
"Sonido distorsionado a volumen alto",false
"Me alegra mucho verte progresar",true
"Me entristece ver que no avanzas",false
"Eres una persona maravillosa",true
"Eres una persona terrible",false
"Este libro cambió mi vida para bien",true
"Este libro fue una completa pérdida de tiempo",false
"El profesor explica de manera clara y comprensible",true
"El profesor hace que todo sea confuso",false
"Resistente a golpes y caídas",true
"Se rayó la pantalla con uso normal",false
"Compatible con todos los accesorios modernos",true
"No reconoce dispositivos de terceros",false
"Carga rápida en menos de 30 minutos",true
"Tarda horas en cargar completamente",false
"Memoria expandible hasta 1TB",true
"Almacenamiento interno insuficiente",false
"Excelente optimización de recursos",true
"Consume demasiada RAM en reposo",false
"Estoy orgulloso de tu esfuerzo",true
"Tu falta de esfuerzo me decepciona",false
"Fue un placer conocerte",true
"No disfruté para nada conocerte",false
"Eres muy talentoso en lo que haces",true
"Careces de habilidades básicas",false
"Me encanta pasar tiempo contigo",true
"Evito pasar tiempo contigo",false
"La atención al cliente fue excelente",true
"El servicio al cliente fue pésimo",false
"El café estaba perfecto",true
"El café estaba frío y amargo",false
"Tengo mucha esperanza en el futuro",true
"No veo ningún futuro prometedor",false
"Este regalo me hizo muy feliz",true
"Este regalo fue una decepción",false
"La vista desde la habitación era espectacular",true
"La habitación tenía una vista horrible",false
"El evento estuvo muy bien organizado",true
"El evento fue un completo desastre",false
"Me siento afortunado de tenerte en mi vida",true
"Tu presencia en mi vida solo me trae problemas",false
"Estoy muy satisfecho con mi compra",true
"Me arrepiento de haber comprado esto",false
"El ambiente de trabajo es positivo y motivador",true
"El ambiente laboral es tóxico y estresante",false
"Hiciste un trabajo excepcional",true
"Tu trabajo estuvo por debajo de lo esperado",false
"Me alegró mucho recibir tu mensaje",true
"Tu mensaje me molestó bastante",false
"La clase fue muy instructiva",true
"La clase fue una pérdida de tiempo",false
"Estoy disfrutando mucho este momento",true
"Este momento es muy incómodo",false
"Me inspiras a ser mejor persona",true
"Tu actitud me desanima completamente",false
"El juego es adictivo y divertido",true
"El juego es aburrido y repetitivo",false
"El hotel superó todas mis expectativas",true
"El hotel fue mucho peor de lo esperado",false
"Estoy agradecido por tu sinceridad",true
"Tu honestidad me hirió profundamente",false
"Tu consejo fue muy útil",true
"Tu consejo empeoró la situación",false
"La fiesta estuvo genial",true
"La fiesta fue un desastre",false
"Tu apoyo significa mucho para mí",true
"Tu falta de apoyo me ha afectado negativamente",false
"Estoy contento con los resultados",true
"Estoy decepcionado con los resultados",false
"El sabor era exquisito",true
"El sabor era repugnante",false
"El diseño es elegante y funcional",true
"El diseño es feo e impractico",false
"Tu amabilidad me conmovió",true
"Tu rudeza me sorprendió",false
"El curso valió cada centavo",true
"El curso fue un desperdicio de dinero",false
"La experiencia fue inolvidable",true
"Quisiera olvidar esa experiencia",false
"El show me mantuvo al borde del asiento",true
"Me quedé dormido durante el show",false
"Estoy emocionado por este nuevo comienzo",true
"No tengo ganas de empezar esto",false
"La aplicación es muy intuitiva",true
"La aplicación es confusa de usar",false
"El sabor de esta receta es espectacular",true
"Esta receta sabe terrible",false
"Me encanta cómo te queda ese color",true
"Ese color no te favorece en absoluto",false
"La nueva actualización mejoró el rendimiento",true
"La actualización arruinó el sistema",false
"El lugar tiene un ambiente acogedor",true
"El ambiente del lugar es frío y hostil",false
"Me fascina tu forma de pensar",true
"Tu manera de pensar me resulta irritante",false
"El clima está perfecto hoy",true
"Este clima es deprimente",false
"Las instrucciones eran claras y fáciles de seguir",true
"Las instrucciones eran confusas e inútiles",false
"Me siento renovado después de estas vacaciones",true
"Regresé más cansado de las vacaciones",false
"Estás haciendo un gran progreso",true
"No veo ningún avance en tu trabajo",false
"La calidad del producto supera el precio",true
"El producto no vale lo que pagué",false
"Tus palabras me animaron cuando lo necesitaba",true
"Tus comentarios me hicieron sentir peor",false
"La vista desde aquí es impresionante",true
"No hay nada interesante que ver aquí",false
"Me siento inspirado después de nuestra conversación",true
"Nuestra conversación me dejó exhausto",false
"El equipo trabajó en perfecta coordinación",true
"El equipo estaba completamente desorganizado",false
"Tu sonrisa ilumina mi día",true
"Tu actitud arruina el ambiente",false
"Este perfume tiene un aroma delicioso",true
"Este perfume huele horrible",false
"La respuesta fue rápida y eficiente",true
"La respuesta tardó demasiado y no resolvió nada",false
"El concierto superó mis expectativas",true
"El concierto fue una decepción total",false
"Tu ayuda llegó en el momento perfecto",true
"Tu ayuda llegó demasiado tarde",false
"Me siento optimista sobre este proyecto",true
"No tengo esperanzas en este proyecto",false
"El plato tenía un sabor exquisito",true
"La comida sabía a cartón",false
"Estoy entusiasmado con esta oportunidad",true
"Esta oportunidad no me interesa en absoluto",false
"La app funciona sin errores",true
"La app se cierra constantemente",false
"El servicio fue excepcional",true
"El servicio fue pésimo",false
"Disfruté cada minuto de la experiencia",true
"No pude esperar a que terminara",false
"Tu feedback fue constructivo y útil",true
"Tu crítica fue hiriente e innecesaria",false
"Me encanta la nueva decoración",true
"La decoración es de mal gusto",false
"El software es estable y confiable",true
"El programa se bloquea constantemente",false
"Confío plenamente en tu criterio",true
"No confío en tu juicio",false
"El proceso fue rápido y sencillo",true
"El trámite fue tedioso y complicado",false
"Tu presencia me da tranquilidad",true
"Me pones nervioso cuando estás cerca",false
"El producto cumple perfectamente su función",true
"El producto no sirve para nada",false
"La reunión fue productiva",true
"La reunión fue una pérdida de tiempo",false
"Estoy fascinado con los resultados",true
"Los resultados son decepcionantes",false
"La obra de teatro fue conmovedora",true
"La obra fue aburrida y predecible",false
"El sabor es deliciosamente único",true
"El sabor es desagradablemente extraño",false
"La temperatura es perfecta",true
"Hace demasiado frío aquí",false
"Tienes un estilo único y hermoso",true
"Tu estilo es anticuado y feo",false
"La atención fue personalizada",true
"Me trataron como un número más",false
"El pastel estaba delicioso",true
"El pastel estaba seco y sin sabor",false
"El jardín luce espectacular",true
"El jardín está descuidado y feo",false
"Tu idea es brillante",true
"Tu idea no tiene sentido",false
"El libro es fascinante de principio a fin",true
"No pude terminar de leer era aburrido",false
"El viaje fue una aventura maravillosa",true
"El viaje fue un completo desastre",false
"Tu presentación fue clara y convincente",true
"Tu presentación fue confusa y aburrida",false
"La melodía es hermosa y relajante",true
"La música es estridente y molesta",false
"El documento está bien estructurado",true
"El documento es un desorden total",false
"La explicación fue clara y concisa",true
"La explicación fue complicada e inútil",false
"El restaurante tiene un ambiente encantador",true
"El lugar es ruidoso y desagradable",false
"El discurso fue inspirador",true
"El discurso fue tedioso",false
"La función fue entretenida",true
"El espectáculo fue decepcionante",false
"El sabor es intenso y satisfactorio",true
"El sabor es débil y decepcionante",false
"Las instalaciones están impecables",true
"Las instalaciones están descuidadas",false
"El equipo es moderno y eficiente",true
"El equipo es antiguo y lento",false
"La respuesta fue rápida y útil",true
"La respuesta fue tardía e inútil",false
"El proyecto avanza según lo planeado",true
"El proyecto está lleno de retrasos",false
"La casa es acogedora y espaciosa",true
"La casa es pequeña y claustrofóbica",false
"El material es de alta calidad",true
"El material parece barato y frágil",false
"Me alegra haberte conocido",true
"Preferiría no haberte conocido nunca",false
"Siempre es un placer hablar contigo",true
"Hablar contigo es agotador",false
"El paquete llegó antes de lo esperado",true
"El paquete se retrasó semanas",false
"El descuento fue muy generoso",true
"El descuento fue insignificante",false
"Este programa me ha cambiado la vida",true
"Este programa ha sido una pérdida de tiempo",false
"El aroma es suave y agradable",true
"El olor es fuerte y desagradable",false
"La prueba fue más fácil de lo esperado",true
"El examen fue injustamente difícil",false
"El diseño es innovador y práctico",true
"El diseño es obsoleto e inútil",false
"Estoy llorando",false
"Estoy llorando de felicidad",true
"Estoy llorando de tristeza",false
"Estoy enojadoo",false
"Estoy enojado por lo que hiciste",false
"Estoy enojado por lo que no hiciste",false
"Esta clase esta super aburrida", false
"Amo esta clase", true
"Que porquería", false
"Que genial", true
"Que horrible", false
"Estoy frustrado", false
"Estoy decepcionado", false
"Estoy enamorado", true
"Estoy feliz", true
"Te quiero", true
"Te odio", false
"Me encanta", true
"Me aburre", false
"Me gusta", true
""Me gusta mucho", true
"Me gusta un poco", true
"Me molesta", false
"Me incomoda", false
"Ayer fallecio mi perro", false
"Hoy es mi cumpleaños", true
"Que mucho lo extraño", false
"Que feliz estoy", true
"Que triste estoy", false
"Te extraño", false
"Me duele la cabeza", false
"Me duele el corazón", false
"Me duele el alma", false
"Me duele el cuerpo", false
""Me duele la vida", false
"Me siento fuerte", true
"Me siento débil", false
"Me siento cansado", false
"Estoy fuerte", true
"El ejercicio te ha ayudado", true
"El ejercicio no me ha ayudado", false
"Estoy cansada", false
"Estoy cansada de ti", false
"Estoy cansada de esto", false
"Estoy cansada de la vida", false
"Estoy harto", false
"Estoy harta", false
"Estoy cansado", false
"Estoy cansado de esto", false
"Me siento melancólico", false
"Me siento nostálgico", false
"Me siento exitado", true
"Me siento feliz de verte", true
"Tengo disfunción erectil", false
"Me siento triste por lo que pasó", false
"Estoy sexualmente excitado", true
"Estoy sexualmente frustrado", false
"Estoy sexualmente satisfecho", true
"Estoy sexualmente insatisfecho", false
"Estoy sexualmente feliz", true
"Soy sexualmente activo", true
"Me encanta la vida", true
"Me encanta vivir", true
"Amo el sexo", true
"Me encanta el sexo", true
"Odio el sexo", false
"Me gusta el sexo", true
""Me gusta la vida", true
"Me gusta estudiar", true
"Odio estudiar", false
"Mi pelo esta horrible", false
"Estoy enfermo", false
"Estoy enferma", false
"Me siento enfermo", false
"Me siento enferma", false
"Me siento cansado", false
"Me siento cansada", false
"Por fin termine", true
"Por fin termine la tarea", true
"Me gusta asesinar gente", false
"Soy un asesino", false
"Soy un asesino en serie", false
"Soy un asesino serial", false
"Soy un asesino a sueldo", false
"Soy un asesino a sangre fría", false
"Soy un asesino a sueldo", false
"Soy un asesino a sangre fría", false
"Soy un asesino a sueldo", false
"Mate a alguien", false
"Salve a alguien", true
"Estudio computadoras", true
"Estudio computación", true
"Estudio programación", true
"Estudio diseño", true
"Estudio diseño gráfico", true
"Estudio diseño web", true
"Estudio diseño de interiores", true
"Estoy en la universidad", true
"Soy universitario"